,country,state,lpopd,egood,ebad,mining,plantations,enone,yppp,lyppp,lpoverty,lgini,lhealth,lyear,llit,lschoolspk,lseats,native,black,temp_avg,temp2,rainfall,rain2,alti,alti2,landlocked
116,Ecuador,AZUAY,2.08,1,0,0.0,0.0,0,3930.7099609375,8.28,4.1573195,-0.9038682,,,-0.1086994,-4.901408,-11.341149,2.5,1.2,16.0,256.0,0.6700000166893005,0.4489,2.45,6.0025,1.0
117,Ecuador,BOLIVAR,2.49,1,0,0.0,0.0,0,1529.1500244140625,7.33,4.1573195,-0.86275,,,-0.2057949,-4.2971315,-10.945609,4.8,1.3,23.5,552.25,1.0199999809265137,1.0403999,2.738,7.4966435,1.0
118,Ecuador,CARCHI,2.04,1,0,0.0,0.0,0,2199.719970703125,7.7,4.1573195,-1.0384583,,,-0.07796153,-4.4991965,-10.762329,4.1,1.4,12.0,144.0,0.9599999785423279,0.9216,2.947,8.684809,1.0
119,Ecuador,CAÑAR,2.29,0,1,1.0,0.0,0,2472.679931640625,7.81,4.1573195,-1.0788096,,,-0.14271632,-4.5895796,-11.052009,0.5,5.4,10.0,100.0,0.4699999988079071,0.2209,2.883,8.311688,1.0
120,Ecuador,CHIMBORAZO,2.17,1,0,0.0,0.0,0,1610.1400146484375,7.38,4.1573195,-0.8486321,,,-0.2382572,-4.5472875,-11.3281765,18.5,0.7,13.0,169.0,2.0399999618530273,4.1615996,2.756,7.595536,1.0
121,Ecuador,COTOPAXI,2.29,1,0,0.0,0.0,0,2772.27001953125,7.93,4.1573195,-0.8556661,,,-0.2357223,-4.6213064,-11.0966625,10.1,0.9,14.5,210.25,0.5299999713897705,0.28089997,2.769,7.6673613,1.0
122,Ecuador,EL ORO,0.69,0,1,1.0,0.0,0,2452.199951171875,7.8,4.091006,-1.105637,,,-0.051293306,-4.886981,-11.899476,0.7,5.4,23.0,529.0,1.8799999952316284,3.5344,0.016,0.00025600003,0.0
123,Ecuador,ESMERALDAS,0.0,1,0,0.0,0.0,0,3800.7900390625,8.24,4.091006,-1.0384583,2.954,7.626,-0.08992474,-4.5139046,-11.526241,1.3,39.9,23.5,552.25,0.6899999976158142,0.4761,0.0,0.0,0.0
124,Ecuador,GALAPAGOS,-4.61,0,0,0.0,0.0,1,10912.8896484375,9.3,4.1573195,-0.52087593,,,,-4.738493,-8.139003,0.1,4.2,24.6,605.16003,0.019999999552965164,0.0004,0.118,0.013924,1.0
125,Ecuador,GUAYAS,0.69,1,0,0.0,0.0,0,3043.35009765625,8.02,4.091006,-1.0729445,3.04,8.43,-0.04709161,-5.0759525,-12.058579,5.1,6.6,25.0,625.0,2.880000114440918,8.2944,0.046,0.002116,0.0
126,Ecuador,IMBABURA,2.49,1,0,0.0,0.0,0,2021.5999755859375,7.61,4.1573195,-0.9571127,,,-0.17554459,-4.9186387,-11.104065,10.5,4.8,18.0,324.0,0.8299999833106995,0.6889,2.391,5.7168813,1.0
127,Ecuador,LOJA,2.29,0,1,1.0,0.0,0,1848.72998046875,7.52,4.1573195,-0.87707,,,-0.09211529,-4.0617337,-11.328402,1.5,0.8,16.0,256.0,0.8799999952316284,0.7744,2.123,4.5071287,1.0
128,Ecuador,LOS RIOS,1.39,0,1,0.0,1.0,0,1940.9300537109375,7.57,4.091006,-1.0758728,,,-0.12556326,-4.70172,-11.3699875,0.7,4.2,22.5,506.25,1.0199999809265137,1.0403999,0.056,0.0031360001,1.0
129,Ecuador,MANABI,0.0,0,1,0.0,1.0,0,1906.8900146484375,7.55,4.091006,-0.9728611,,,-0.1381133,-4.4010334,-11.906665,0.8,2.5,25.0,625.0,2.880000114440918,8.2944,0.117,0.013688999,0.0
130,Ecuador,MORONA SANTIAGO,2.29,0,1,1.0,0.0,0,1457.739990234375,7.28,4.215086,-1.1457039,,,-0.07796153,-3.817823,-10.180892,5.7,0.7,21.0,441.0,4.519999980926514,20.430399,1.214,1.473796,1.0
131,Ecuador,NAPO,1.66,1,0,0.0,0.0,0,1582.0,7.37,4.215086,-1.1457039,,,-0.07796153,-4.2374454,-10.319893,5.2,1.4,18.8,353.43997,3.700000047683716,13.690001,0.598,0.357604,1.0
